"id","EAP","HPL","MWS"
"id00249",0.24,0.42,0.34
"id00258",0.54,0.4,0.06
"id00262",0.3,0.64,0.06
"id00263",0.6,0.24,0.16
"id00266",0.34,0.02,0.64
"id00269",0.36,0.26,0.38
"id00273",0.36,0.08,0.56
"id00274",0.76,0.2,0.04
"id00294",0.1,0.12,0.78
"id00296",0.54,0.38,0.08
"id00298",0.36,0.54,0.1
"id00300",0.1,0.46,0.44
"id00305",0.7,0.14,0.16
"id00313",0.44,0.5,0.06
"id00319",0.86,0.14,0
"id00320",0.4,0.44,0.16
"id00325",0.6,0.32,0.08
"id00326",0.72,0.28,0
"id00327",0.62,0.06,0.32
"id00328",0.94,0.02,0.04
"id00330",0.08,0.54,0.38
"id00331",0.5,0.16,0.34
"id00333",0.6,0.32,0.08
"id00335",0.44,0.16,0.4
"id00339",0.18,0.62,0.2
"id00340",0.86,0,0.14
"id00342",0.36,0.56,0.08
"id00343",1,0,0
"id00344",0.8,0.08,0.12
"id00345",0.74,0.22,0.04
"id00346",0.2,0.34,0.46
"id00347",0.88,0,0.12
"id00348",0.76,0.12,0.12
"id00349",0.26,0.58,0.16
"id00350",0.44,0.42,0.14
"id00351",0.82,0.14,0.04
"id00352",0.3,0.46,0.24
"id00355",0.18,0.46,0.36
"id00356",0.32,0.66,0.02
"id00360",0.18,0.42,0.4
"id00364",0.72,0.26,0.02
"id00366",0.74,0.24,0.02
"id00367",0.56,0.1,0.34
"id00372",0.62,0.18,0.2
"id00373",0.16,0.16,0.68
"id00378",0.6,0.1,0.3
"id00380",0.62,0.3,0.08
"id00382",0.52,0.42,0.06
"id00395",0.82,0,0.18
"id00397",0.44,0.06,0.5
"id00398",0.64,0.34,0.02
"id00399",0.88,0.12,0
"id00401",0.64,0.16,0.2
"id00406",0.2,0.7,0.1
"id00407",0.64,0,0.36
"id00409",0.78,0.02,0.2
"id00411",0.58,0.32,0.1
"id00414",0.14,0.46,0.4
"id00416",0.38,0.3,0.32
"id00417",0.48,0.22,0.3
"id00422",0.56,0.28,0.16
"id00424",0.22,0.26,0.52
"id00426",0.72,0.12,0.16
"id00428",0.32,0.14,0.54
"id00430",0.2,0.4,0.4
"id00432",0.64,0.02,0.34
"id00443",0.36,0.02,0.62
"id00449",0.28,0.16,0.56
"id00451",0.36,0.22,0.42
"id00456",0.4,0.6,0
"id00458",1,0,0
"id00459",0.7,0.18,0.12
"id00461",1,0,0
"id00462",0.38,0.6,0.02
"id00463",0.6,0.12,0.28
"id00468",0.3,0.54,0.16
"id00477",0.9,0.08,0.02
"id00478",0.94,0.06,0
"id00479",0.58,0.28,0.14
"id00481",0.44,0.26,0.3
"id00486",0.48,0.22,0.3
"id00487",0.34,0.18,0.48
"id00488",0.9,0.04,0.06
"id00491",0.92,0.02,0.06
"id00492",0.24,0.02,0.74
"id00493",0.38,0.46,0.16
"id00494",0.62,0.26,0.12
"id00497",0.48,0.18,0.34
"id00500",0.7,0.3,0
"id00502",0.96,0.04,0
"id00503",0.54,0.02,0.44
"id00504",0.86,0.08,0.06
"id00509",0.44,0.16,0.4
"id00511",0.1,0.76,0.14
"id00513",0.5,0.08,0.42
"id00517",0.12,0.14,0.74
"id00525",0.3,0.32,0.38
"id00527",0.54,0.36,0.1
"id00530",0.48,0.12,0.4
"id00534",0.1,0.18,0.72
"id00536",0.58,0.36,0.06
"id00540",0.92,0.08,0
"id00543",0.3,0.16,0.54
"id00544",0.62,0.02,0.36
"id00549",0.26,0.36,0.38
"id00557",0.8,0.16,0.04
"id00561",0.48,0.48,0.04
"id00563",0.84,0,0.16
"id00565",0.52,0.28,0.2
"id00568",0.24,0.76,0
"id00571",0.48,0.12,0.4
"id00573",0.42,0.48,0.1
"id00574",0.44,0.4,0.16
"id00579",0.48,0.34,0.18
"id00580",0.3,0.12,0.58
"id00581",0.62,0.22,0.16
"id00583",0.14,0.34,0.52
"id00585",0.4,0.14,0.46
"id00586",0.62,0.3,0.08
"id00592",0.44,0.42,0.14
"id00595",0.16,0.66,0.18
"id00599",0.42,0.04,0.54
"id00600",0.34,0.44,0.22
"id00603",0.5,0,0.5
"id00608",0.52,0.36,0.12
"id00613",0.3,0.1,0.6
"id00617",0.52,0.08,0.4
"id00618",0.56,0.22,0.22
"id00626",0.34,0.2,0.46
"id00627",0.76,0.02,0.22
"id00628",0.2,0.3,0.5
"id00630",0.66,0.3,0.04
"id00641",0.48,0.28,0.24
"id00642",0.16,0.66,0.18
"id00648",0.5,0.14,0.36
"id00652",0.54,0.18,0.28
"id00655",0.66,0,0.34
"id00656",0.68,0,0.32
"id00658",0.48,0.02,0.5
"id00659",0.48,0.2,0.32
"id00670",0.86,0.04,0.1
"id00678",0.36,0.32,0.32
"id00681",0.7,0.26,0.04
"id00684",0.76,0.08,0.16
"id00686",0.58,0.24,0.18
"id00687",0.86,0.1,0.04
"id00692",0.62,0.06,0.32
"id00696",0.34,0.14,0.52
"id00697",0.38,0.24,0.38
"id00699",0.38,0.3,0.32
"id00701",0.22,0.28,0.5
"id00703",0.52,0.16,0.32
"id00718",0.62,0.16,0.22
"id00721",0.18,0.6,0.22
"id00722",0.24,0.46,0.3
"id00729",0.88,0.08,0.04
"id00731",0.18,0.76,0.06
"id00735",0.36,0.04,0.6
"id00737",0.64,0.14,0.22
"id00744",0.76,0.02,0.22
"id00751",0.26,0.36,0.38
"id00753",0.5,0.44,0.06
"id00758",0.6,0.12,0.28
"id00759",0.44,0.56,0
"id00761",0.54,0.36,0.1
"id00767",0.96,0.04,0
"id00770",0.6,0.3,0.1
"id00772",0.64,0.1,0.26
"id00773",0.2,0.62,0.18
"id00780",0.32,0.5,0.18
"id00784",0.36,0.28,0.36
"id00785",0.5,0.22,0.28
"id00794",0.2,0.74,0.06
"id00795",0.4,0.18,0.42
"id00797",0.94,0.04,0.02
"id00803",0.56,0.44,0
"id00804",0.3,0.16,0.54
"id00812",0.22,0.3,0.48
"id00814",0.26,0.3,0.44
"id00820",0.4,0.48,0.12
"id00821",0.44,0.24,0.32
"id00823",0.16,0.54,0.3
"id00828",0.9,0,0.1
"id00831",0.28,0.3,0.42
"id00835",0.34,0.52,0.14
"id00837",0.3,0.18,0.52
"id00841",0.8,0.18,0.02
"id00842",0.54,0.26,0.2
"id00843",0.6,0.16,0.24
"id00845",0.52,0.18,0.3
"id00846",0.38,0.58,0.04
"id00847",0.5,0.36,0.14
"id00850",0.66,0.12,0.22
"id00858",0.72,0.2,0.08
"id00860",0.12,0.34,0.54
"id00865",0.6,0.24,0.16
"id00868",0.26,0.3,0.44
"id00869",0.82,0.06,0.12
"id00873",0.64,0.1,0.26
"id00874",0.56,0.08,0.36
"id00876",0.84,0.02,0.14
"id00878",0.74,0.06,0.2
"id00879",0.3,0.42,0.28
"id00882",0.96,0.04,0
"id00886",0.8,0.08,0.12
"id00896",0.04,0.38,0.58
"id00901",0.12,0.62,0.26
"id00902",0.32,0.54,0.14
"id00903",0.7,0.08,0.22
"id00906",0.26,0.56,0.18
"id00907",0.8,0.14,0.06
"id00910",0.5,0.32,0.18
"id00911",0.62,0.16,0.22
"id00916",0.82,0.02,0.16
"id00926",0.48,0.36,0.16
"id00927",0.86,0,0.14
"id00934",0.3,0.44,0.26
"id00935",0.16,0.32,0.52
"id00939",0.4,0.38,0.22
"id00940",0.34,0.22,0.44
"id00942",0.9,0.08,0.02
"id00943",0.18,0.76,0.06
"id00946",0.78,0.06,0.16
"id00955",0.66,0.3,0.04
"id00967",0.42,0.5,0.08
"id00969",0.36,0.6,0.04
"id00970",0.5,0.02,0.48
"id00973",0.72,0.14,0.14
"id00979",0.5,0.4,0.1
"id00985",0.68,0.24,0.08
"id00992",0.12,0.62,0.26
"id00994",0.64,0.34,0.02
"id01006",0.62,0.18,0.2
"id01014",1,0,0
"id01016",0.62,0.2,0.18
"id01017",0.22,0.34,0.44
"id01024",0.86,0,0.14
"id01034",0.2,0.76,0.04
"id01042",0.3,0.36,0.34
"id01047",0.78,0.22,0
"id01049",0.5,0.14,0.36
"id01050",0.52,0.32,0.16
"id01054",0.76,0.04,0.2
"id01055",0.36,0.56,0.08
"id01057",0.58,0.1,0.32
"id01060",0.52,0.4,0.08
"id01062",0.22,0.24,0.54
"id01065",0.14,0.72,0.14
"id01070",0.32,0.24,0.44
"id01072",0.8,0.18,0.02
"id01075",0.44,0.54,0.02
"id01079",0.32,0.68,0
"id01082",0.18,0.66,0.16
"id01091",0.64,0.26,0.1
"id01096",0.54,0.22,0.24
"id01099",0.58,0.32,0.1
"id01103",0.58,0.18,0.24
"id01104",0.9,0.06,0.04
"id01109",0.84,0,0.16
"id01113",0.78,0.08,0.14
"id01114",1,0,0
"id01116",0.24,0.18,0.58
"id01120",0.9,0.06,0.04
"id01123",0.82,0,0.18
"id01125",0.42,0.18,0.4
"id01128",0.46,0.02,0.52
"id01130",0.6,0.38,0.02
"id01133",0.84,0,0.16
"id01139",1,0,0
"id01141",0.24,0.18,0.58
"id01142",0.58,0.1,0.32
"id01146",0.66,0.34,0
"id01148",0.56,0.26,0.18
"id01151",0.74,0.18,0.08
"id01152",0.78,0.2,0.02
"id01154",0.32,0.3,0.38
"id01156",0.5,0.48,0.02
"id01166",0.52,0.32,0.16
"id01167",0.1,0.24,0.66
"id01170",0.56,0.26,0.18
"id01171",0.92,0.02,0.06
"id01178",0.42,0.06,0.52
"id01184",0.62,0.3,0.08
"id01187",0.36,0.48,0.16
"id01191",0.62,0.2,0.18
"id01193",0.8,0.1,0.1
"id01203",0.68,0.1,0.22
"id01205",0.42,0.38,0.2
"id01208",0.6,0.32,0.08
"id01209",0.52,0.08,0.4
"id01211",0.46,0.48,0.06
"id01212",0.52,0.2,0.28
"id01215",0.36,0.42,0.22
"id01216",0.62,0.14,0.24
"id01217",0.74,0.2,0.06
"id01219",0.76,0.24,0
"id01223",0.32,0.3,0.38
"id01228",0.7,0.1,0.2
"id01230",0.26,0.58,0.16
"id01236",0.5,0,0.5
"id01240",0.68,0.2,0.12
"id01242",0.58,0.24,0.18
"id01243",0.4,0.42,0.18
"id01246",0.42,0.52,0.06
"id01253",0.44,0.26,0.3
"id01254",0.46,0.4,0.14
"id01255",0.34,0.54,0.12
"id01256",0.82,0.18,0
"id01257",0.7,0.2,0.1
"id01260",0.86,0.08,0.06
"id01263",0.88,0.08,0.04
"id01268",0.58,0.34,0.08
"id01276",0.34,0.62,0.04
"id01282",0.44,0.16,0.4
"id01284",0.88,0,0.12
"id01296",0.78,0.16,0.06
"id01297",0.88,0.1,0.02
"id01299",0.58,0.04,0.38
"id01303",0.42,0.38,0.2
"id01308",0.84,0.16,0
"id01323",0.86,0.02,0.12
"id01326",0.92,0,0.08
"id01332",0.34,0.22,0.44
"id01334",0.64,0.3,0.06
"id01338",0.56,0.24,0.2
"id01339",0.68,0.14,0.18
"id01340",0.98,0.02,0
"id01352",0.46,0.36,0.18
"id01354",0.46,0.52,0.02
"id01355",0.12,0.7,0.18
"id01356",0.28,0.52,0.2
"id01358",0.58,0.26,0.16
"id01360",0.6,0.24,0.16
"id01362",0.08,0.1,0.82
"id01364",0.38,0.54,0.08
"id01365",0.76,0.18,0.06
"id01379",0.36,0.62,0.02
"id01383",1,0,0
"id01385",0.52,0.38,0.1
"id01388",0.28,0.6,0.12
"id01389",0.06,0.68,0.26
"id01392",0.66,0,0.34
"id01407",0.6,0.08,0.32
"id01410",0.72,0,0.28
"id01417",0.44,0.3,0.26
"id01420",0.26,0.68,0.06
"id01421",0.6,0.08,0.32
"id01434",0.82,0,0.18
"id01438",0.72,0.06,0.22
"id01441",0.82,0.12,0.06
"id01449",0.92,0.08,0
"id01452",0.66,0,0.34
"id01455",0.74,0.26,0
"id01458",0.66,0.12,0.22
"id01461",0.9,0.1,0
"id01465",0.62,0.1,0.28
"id01466",0.28,0.4,0.32
"id01473",0.7,0.22,0.08
"id01474",0.36,0.04,0.6
"id01475",0.28,0.28,0.44
"id01477",0.38,0.16,0.46
"id01484",0.64,0.28,0.08
"id01486",0.96,0.02,0.02
"id01487",0.28,0.14,0.58
"id01490",0.24,0.06,0.7
"id01495",0.62,0.38,0
"id01497",0.08,0.72,0.2
"id01505",0.6,0.38,0.02
"id01510",0.22,0.46,0.32
"id01520",0.62,0.22,0.16
"id01522",0.74,0.2,0.06
"id01525",0.56,0.4,0.04
"id01526",0.56,0.26,0.18
"id01539",0.38,0.24,0.38
"id01544",0.86,0.06,0.08
"id01546",0.3,0.58,0.12
"id01551",0.26,0.44,0.3
"id01552",0.68,0.18,0.14
"id01553",0.78,0.18,0.04
"id01556",0.58,0.04,0.38
"id01572",0.42,0.42,0.16
"id01574",0.2,0.48,0.32
"id01575",0.62,0.04,0.34
"id01578",0.34,0.1,0.56
"id01581",0.06,0.08,0.86
"id01582",0.22,0.48,0.3
"id01584",0.66,0.34,0
"id01586",0.2,0.72,0.08
"id01591",0.9,0.08,0.02
"id01592",0.62,0.38,0
"id01594",0.64,0.3,0.06
"id01598",0.5,0.04,0.46
"id01599",0.36,0.54,0.1
"id01605",0.72,0.12,0.16
"id01611",0.48,0.18,0.34
"id01616",0.14,0.6,0.26
"id01617",0.3,0.1,0.6
"id01618",0.42,0.28,0.3
"id01621",0.44,0.46,0.1
"id01631",0.5,0.26,0.24
"id01632",0.62,0.18,0.2
"id01635",0.08,0.88,0.04
"id01637",0.2,0.4,0.4
"id01639",0.68,0.26,0.06
"id01642",0.32,0.32,0.36
"id01643",0.52,0.38,0.1
"id01645",0.52,0.34,0.14
"id01649",1,0,0
"id01650",0.2,0.24,0.56
"id01658",0.72,0.08,0.2
"id01664",0.66,0.28,0.06
"id01665",0.42,0.48,0.1
"id01670",0.68,0.22,0.1
"id01671",0.58,0.3,0.12
"id01672",0.6,0.22,0.18
"id01679",0.8,0,0.2
"id01682",0.22,0.5,0.28
"id01685",0.5,0.32,0.18
"id01686",0.56,0.22,0.22
"id01689",0.7,0.06,0.24
"id01691",0.18,0.7,0.12
"id01694",0.54,0.32,0.14
"id01695",0.42,0.48,0.1
"id01696",0.6,0.28,0.12
"id01698",0.7,0.3,0
"id01700",0.52,0.1,0.38
"id01701",0.72,0.16,0.12
"id01709",0.38,0.38,0.24
"id01713",0.12,0.66,0.22
"id01714",0.62,0.26,0.12
"id01716",0.58,0.34,0.08
"id01718",0.36,0.04,0.6
"id01724",0.32,0.32,0.36
"id01727",0.7,0.14,0.16
"id01730",0.3,0.64,0.06
"id01731",0.88,0.04,0.08
"id01736",0.54,0.46,0
"id01740",0.28,0.04,0.68
"id01743",0.48,0.26,0.26
"id01745",0.46,0.24,0.3
"id01749",0.74,0.08,0.18
"id01751",0.42,0.3,0.28
"id01753",0.68,0.24,0.08
"id01754",0.14,0.56,0.3
"id01755",0.68,0.18,0.14
"id01758",0.84,0.02,0.14
"id01760",0.8,0.08,0.12
"id01765",0.28,0.14,0.58
"id01768",0.7,0.12,0.18
"id01771",1,0,0
"id01772",0.7,0.16,0.14
"id01774",0.24,0.12,0.64
"id01775",0.04,0.72,0.24
"id01778",0.6,0.02,0.38
"id01779",0.5,0.22,0.28
"id01783",0.44,0.22,0.34
"id01784",0.7,0.06,0.24
"id01787",0.24,0.44,0.32
"id01789",0.52,0.42,0.06
"id01794",0.72,0.04,0.24
"id01799",0.9,0.1,0
"id01801",0.44,0.08,0.48
"id01802",0.62,0.22,0.16
"id01828",0.18,0.54,0.28
"id01834",0.62,0.04,0.34
"id01840",0.04,0.38,0.58
"id01842",0.24,0.1,0.66
"id01848",0.56,0.1,0.34
"id01850",1,0,0
"id01856",0.8,0.16,0.04
"id01860",0.22,0.18,0.6
"id01861",0.96,0.02,0.02
"id01862",0.26,0.42,0.32
"id01868",0.68,0.22,0.1
"id01870",0.14,0.58,0.28
"id01871",0.54,0.24,0.22
"id01874",0.44,0.18,0.38
"id01875",0.44,0.24,0.32
"id01877",0.36,0.18,0.46
"id01878",0.76,0.14,0.1
"id01881",0.3,0.32,0.38
"id01883",0.24,0.58,0.18
"id01886",0.3,0.68,0.02
"id01888",0.64,0.16,0.2
"id01897",0.24,0.54,0.22
"id01898",0.76,0.06,0.18
"id01901",0.98,0,0.02
"id01905",0.22,0.06,0.72
"id01911",0.98,0.02,0
"id01914",0.64,0.26,0.1
"id01915",0.18,0.54,0.28
"id01916",0.9,0.04,0.06
"id01919",0.74,0.06,0.2
"id01923",0.68,0.08,0.24
"id01927",0.52,0.02,0.46
"id01930",0.68,0.08,0.24
"id01932",0.4,0.32,0.28
"id01935",0.82,0.16,0.02
"id01936",0.7,0.28,0.02
"id01938",0.66,0.2,0.14
"id01939",0.64,0.14,0.22
"id01940",0.72,0,0.28
"id01941",0.6,0.24,0.16
"id01942",0.12,0.2,0.68
"id01944",0.8,0.12,0.08
"id01945",0.9,0.04,0.06
"id01946",0.62,0.06,0.32
"id01954",0.8,0,0.2
"id01972",0.42,0.16,0.42
"id01975",0.22,0.06,0.72
"id01977",0.4,0.4,0.2
"id01978",0.5,0.28,0.22
"id01980",0.78,0.18,0.04
"id01981",0.7,0.2,0.1
"id01990",0.4,0.46,0.14
"id01991",0.46,0.1,0.44
"id01994",0.48,0.36,0.16
"id01995",0.42,0.08,0.5
"id02007",0.3,0.1,0.6
"id02009",0.78,0.18,0.04
"id02019",0.12,0.66,0.22
"id02020",0.32,0.56,0.12
"id02023",0.54,0.08,0.38
"id02026",0.58,0.16,0.26
"id02030",0.34,0.58,0.08
"id02037",0.46,0.5,0.04
"id02039",0.28,0.52,0.2
"id02041",0.68,0.18,0.14
"id02043",0.56,0.16,0.28
"id02048",0.96,0.02,0.02
"id02052",0.34,0.4,0.26
"id02054",0.5,0.36,0.14
"id02058",0.94,0.04,0.02
"id02059",0.96,0.04,0
"id02068",0.62,0.06,0.32
"id02070",0.12,0.34,0.54
"id02071",0.92,0.04,0.04
"id02074",0.58,0.04,0.38
"id02077",0.84,0.02,0.14
"id02078",0.18,0.74,0.08
"id02082",0.4,0.54,0.06
"id02097",0.26,0.18,0.56
"id02098",0.38,0.04,0.58
"id02100",0.8,0.04,0.16
"id02103",0.34,0.2,0.46
"id02107",0.48,0.48,0.04
"id02108",0.66,0.18,0.16
"id02110",0.54,0.24,0.22
"id02111",0.42,0.5,0.08
"id02116",0.38,0.3,0.32
"id02120",0.82,0,0.18
"id02129",0.46,0.44,0.1
"id02132",0.12,0.56,0.32
"id02133",0.52,0.34,0.14
"id02134",0.7,0.14,0.16
"id02135",0.68,0.24,0.08
"id02136",0.28,0.66,0.06
"id02137",1,0,0
"id02139",0.3,0.26,0.44
"id02157",0.34,0.62,0.04
"id02158",0.32,0.56,0.12
"id02161",0.78,0.04,0.18
"id02162",0.38,0.46,0.16
"id02166",0.16,0.26,0.58
"id02167",0.58,0.16,0.26
"id02169",0.66,0.14,0.2
"id02177",0.94,0.02,0.04
"id02180",0.34,0.6,0.06
"id02183",0.16,0.6,0.24
"id02184",0.42,0.44,0.14
"id02189",0.84,0.14,0.02
"id02190",0.7,0.3,0
"id02195",0.6,0.16,0.24
"id02198",0.36,0.56,0.08
"id02200",0.38,0.22,0.4
"id02202",0.62,0.1,0.28
"id02205",0.2,0.3,0.5
"id02208",0.46,0.36,0.18
"id02211",0.48,0.38,0.14
"id02214",0.48,0.26,0.26
"id02215",0.54,0.14,0.32
"id02216",0.74,0.14,0.12
"id02218",0.46,0.42,0.12
"id02220",0.5,0.32,0.18
"id02223",0.96,0.02,0.02
"id02225",0.64,0.28,0.08
"id02226",0.52,0.26,0.22
"id02230",0.3,0.46,0.24
"id02239",0.46,0.08,0.46
"id02240",0.86,0.04,0.1
"id02243",0.78,0.22,0
"id02248",0.1,0.86,0.04
"id02249",0.14,0.8,0.06
"id02255",0.2,0.38,0.42
"id02256",0.28,0.4,0.32
"id02264",0.36,0.38,0.26
"id02265",0.36,0.42,0.22
"id02266",0.18,0.06,0.76
"id02273",0.2,0.18,0.62
"id02275",0.2,0.5,0.3
"id02280",0.56,0.36,0.08
"id02281",0.62,0.04,0.34
"id02284",0.9,0.08,0.02
"id02286",0.18,0.64,0.18
"id02288",0.14,0.82,0.04
"id02292",0.96,0,0.04
"id02294",0.74,0.14,0.12
"id02295",0.74,0.12,0.14
"id02296",0.4,0.18,0.42
"id02301",0.8,0.04,0.16
"id02302",0.3,0.14,0.56
"id02305",0.58,0.38,0.04
"id02306",0.2,0.44,0.36
"id02307",0.82,0.18,0
"id02309",0.66,0.24,0.1
"id02310",0.24,0.08,0.68
"id02311",0.36,0.44,0.2
"id02316",0.7,0.12,0.18
"id02321",0.3,0.02,0.68
"id02323",0.18,0.48,0.34
"id02327",0.7,0,0.3
"id02334",0.36,0.64,0
"id02335",0.3,0.18,0.52
"id02337",0.24,0.66,0.1
"id02338",0.86,0.08,0.06
"id02341",0.4,0.06,0.54
"id02342",0.24,0.26,0.5
"id02347",0.62,0.06,0.32
"id02348",0.54,0.08,0.38
"id02353",0.16,0.74,0.1
"id02354",0.78,0.06,0.16
"id02355",0.6,0.12,0.28
"id02370",0.54,0.38,0.08
"id02378",0.4,0.44,0.16
"id02380",0.6,0.14,0.26
"id02382",0.44,0.06,0.5
"id02385",0.34,0.3,0.36
"id02387",0.62,0.1,0.28
"id02390",0.52,0.16,0.32
"id02393",0.58,0.14,0.28
"id02395",0.58,0.26,0.16
"id02396",0.5,0.26,0.24
"id02398",0.7,0.24,0.06
"id02404",0.3,0.6,0.1
"id02407",0.2,0.58,0.22
"id02409",0.94,0.04,0.02
"id02414",0.42,0.04,0.54
"id02419",0.32,0.04,0.64
"id02420",0.58,0.3,0.12
"id02425",0.4,0.14,0.46
"id02429",0.28,0.14,0.58
"id02431",0.4,0.36,0.24
"id02434",0.76,0.2,0.04
"id02440",0.7,0.24,0.06
"id02442",0.84,0.08,0.08
"id02449",0.36,0.62,0.02
"id02452",0.96,0.02,0.02
"id02454",0.26,0.54,0.2
"id02457",0.6,0.24,0.16
"id02466",0.82,0.02,0.16
"id02468",0.3,0.06,0.64
"id02469",0.98,0,0.02
"id02470",0.48,0.1,0.42
"id02471",0.18,0.2,0.62
"id02478",0.78,0.04,0.18
"id02483",0.94,0.06,0
"id02487",0.46,0.18,0.36
"id02488",0.74,0.06,0.2
"id02489",0.42,0.16,0.42
"id02497",0.72,0.06,0.22
"id02508",0.54,0.38,0.08
"id02510",0.66,0,0.34
"id02513",0.4,0.54,0.06
"id02517",0.58,0.14,0.28
"id02523",0.86,0,0.14
"id02525",0.66,0.06,0.28
"id02527",0.56,0,0.44
"id02535",0.52,0.48,0
"id02537",0.92,0.02,0.06
"id02540",0.64,0.24,0.12
"id02551",0.4,0.06,0.54
"id02554",0.8,0.06,0.14
"id02556",0.58,0.32,0.1
"id02564",0.96,0.04,0
"id02566",0.3,0.62,0.08
"id02569",0.88,0,0.12
"id02571",0.42,0.26,0.32
"id02573",0.74,0.08,0.18
"id02576",0.38,0.12,0.5
"id02585",0.52,0.18,0.3
"id02587",0.42,0.28,0.3
"id02597",0.56,0.38,0.06
"id02600",0.54,0.36,0.1
"id02601",0.26,0.4,0.34
"id02603",0.32,0.48,0.2
"id02608",0.06,0.72,0.22
"id02610",0.38,0.24,0.38
"id02613",0.78,0,0.22
"id02618",0.66,0.2,0.14
"id02623",0.6,0.38,0.02
"id02624",0.86,0.04,0.1
"id02629",0.12,0.42,0.46
"id02631",0.82,0.16,0.02
"id02634",0.8,0.12,0.08
"id02641",0.62,0.36,0.02
"id02642",0.48,0.1,0.42
"id02643",0.28,0.34,0.38
"id02648",0.46,0,0.54
"id02650",0.98,0.02,0
"id02654",0.48,0.4,0.12
"id02659",0.32,0.48,0.2
"id02661",0.28,0.66,0.06
"id02664",0.08,0.66,0.26
"id02665",0.44,0.48,0.08
"id02669",0.86,0.12,0.02
"id02671",0.52,0.48,0
"id02679",0.96,0,0.04
"id02681",0.46,0.28,0.26
"id02684",0.46,0.26,0.28
"id02686",0.66,0.14,0.2
"id02688",0.98,0.02,0
"id02689",0.5,0.24,0.26
"id02692",0.68,0.14,0.18
"id02709",0.54,0.3,0.16
"id02713",0.6,0.1,0.3
"id02716",0.66,0.08,0.26
"id02724",0.72,0,0.28
"id02727",0.86,0.02,0.12
"id02729",0.2,0.36,0.44
"id02733",1,0,0
"id02736",0.88,0,0.12
"id02737",0.24,0.44,0.32
"id02738",0.52,0.38,0.1
"id02745",0.2,0.12,0.68
"id02748",1,0,0
"id02751",0.36,0.04,0.6
"id02752",0.24,0.54,0.22
"id02756",0.34,0.04,0.62
"id02757",0.52,0.42,0.06
"id02759",0.52,0.24,0.24
"id02760",0.76,0.04,0.2
"id02763",1,0,0
"id02765",0.48,0.14,0.38
"id02770",0.72,0.14,0.14
"id02776",0.6,0.14,0.26
"id02777",0.5,0.16,0.34
"id02781",0.08,0.3,0.62
"id02782",0.62,0.38,0
"id02783",0.26,0.2,0.54
"id02785",0.34,0.5,0.16
"id02786",0.6,0.26,0.14
"id02790",0.86,0.08,0.06
"id02792",0.7,0.06,0.24
"id02793",0.94,0,0.06
"id02796",0.36,0.56,0.08
"id02797",0.36,0.26,0.38
